country,year,iso_code,population,gdp
Afghanistan,1990,AFG,10694804,13.065.984.000.000
Albania,1990,ALB,3295073,12.947.849.216.000
Algeria,1990,DZA,25518074,117.843.181.568.000
American Samoa,1990,ASM,47841,
Angola,1990,AGO,11828643,11.482.503.168.000
Antarctica,1990,ATA,,
Antigua and Barbuda,1990,ATG,63346,
Argentina,1990,ARG,32637658,338.751.160.320.000
Aruba,1990,ABW,65734,
Australia,1990,AUS,17048002,464.136.601.600.000
Austria,1990,AUT,7678732,207.979.118.592.000
Azerbaijan,1990,AZE,7427840,53.235.601.408.000
Bahamas,1990,BHS,270690,
Bahrain,1990,BHR,517429,3.274.114.048.000
Bangladesh,1990,BGD,107147656,112.105.267.200.000
Barbados,1990,BRB,258871,3.404.428.032.000
Belarus,1990,BLR,10428527,116.974.870.528.000
Belgium,1990,BEL,9959565,273.278.730.240.000
Belize,1990,BLZ,182603,
Benin,1990,BEN,5133429,8.723.574.784.000
Bermuda,1990,BMU,57490,
Bhutan,1990,BTN,558449,
Bolivia,1990,BOL,7096195,23.021.797.376.000
Botswana,1990,BWA,1341480,6.660.711.424.000
Brazil,1990,BRA,150706448,1.185.475.198.976.000
British Virgin Islands,1990,VGB,15646,
Brunei,1990,BRN,261936,
Bulgaria,1990,BGR,8767778,79.352.520.704.000
Burkina Faso,1990,BFA,9131362,10.752.295.936.000
Burundi,1990,BDI,5483800,6.041.848.320.000
Cambodia,1990,KHM,8910806,13.119.770.624.000
Cameroon,1990,CMR,11430519,22.937.075.712.000
Canada,1990,CAN,27657206,835.996.811.264.000
Cape Verde,1990,CPV,364572,668.099.968.000
Cayman Islands,1990,CYM,26050,
Central African Republic,1990,CAF,2809223,3.155.954.944.000
Chad,1990,TCD,5827070,4.042.256.384.000
Chile,1990,CHL,13342876,133.955.190.784.000
China,1990,CHN,1153704192,3.385.121.570.816.000
Colombia,1990,COL,32601396,253.538.205.696.000
Comoros,1990,COM,431128,469.560.000.000
Congo,1990,COG,2385433,8.597.208.064.000
Cook Islands,1990,COK,17147,
Costa Rica,1990,CRI,3158257,22.906.634.240.000
Cote d'Ivoire,1990,CIV,11910540,26.018.496.512.000
Croatia,1990,HRV,4873705,58.374.078.464.000
Cuba,1990,CUB,10626679,49.943.662.592.000
Cyprus,1990,CYP,788501,10.601.790.464.000
Czechia,1990,CZE,10301190,146.168.283.136.000
Democratic Republic of Congo,1990,COD,35987544,31.745.583.104.000
Denmark,1990,DNK,5144626,151.205.740.544.000
Djibouti,1990,DJI,577183,1.151.692.032.000
Dominica,1990,DMA,69501,275.729.984.000
Dominican Republic,1990,DOM,7129004,27.899.936.768.000
Ecuador,1990,ECU,10449845,64.188.502.016.000
Egypt,1990,EGY,57214632,227.979.902.976.000
El Salvador,1990,SLV,5367182,17.260.965.888.000
Equatorial Guinea,1990,GNQ,465560,917.854.016.000
Estonia,1990,EST,1570676,27.066.095.616.000
Eswatini,1990,SWZ,854020,3.420.534.784.000
Ethiopia,1990,ETH,47878076,45.030.920.192.000
Faeroe Islands,1990,FRO,47505,
Falkland Islands,1990,FLK,2353,
Fiji,1990,FJI,780437,
Finland,1990,FIN,4986551,134.055.206.912.000
France,1990,FRA,56412896,1.636.207.689.728.000
French Guiana,1990,GUF,113948,
French Polynesia,1990,PYF,211108,
Gabon,1990,GAB,983039,7.172.590.080.000
Gambia,1990,GMB,1040625,1.331.399.936.000
Germany,1990,DEU,79370192,2.015.547.621.376.000
Ghana,1990,GHA,15446987,26.095.562.752.000
Gibraltar,1990,GIB,27342,
Greece,1990,GRC,10302255,161.708.982.272.000
Greenland,1990,GRL,55616,
Grenada,1990,GRD,99066,
Guadeloupe,1990,GLP,391961,
Guam,1990,GUM,138279,
Guatemala,1990,GTM,9084779,46.309.388.288.000
Guinea,1990,GIN,6354146,4.999.406.592.000
Guinea-Bissau,1990,GNB,973557,1.261.819.904.000
Guyana,1990,GUY,747124,
Haiti,1990,HTI,6925335,10.773.449.728.000
Honduras,1990,HND,5053235,14.201.085.952.000
Hong Kong,1990,HKG,5838573,159.035.326.464.000
Hungary,1990,HUN,10375989,106.788.855.808.000
Iceland,1990,ISL,255026,7.325.718.528.000
India,1990,IND,870452160,1.750.992.945.152.000
Indonesia,1990,IDN,182159888,718.548.893.696.000
Iran,1990,IRN,55793628,318.478.254.080.000
Iraq,1990,IRQ,17658384,71.051.763.712.000
Ireland,1990,IRL,3485370,66.087.473.152.000
Israel,1990,ISR,4803255,93.268.262.912.000
Italy,1990,ITA,56756560,1.475.485.237.248.000
Jamaica,1990,JAM,2392035,14.169.709.568.000
Japan,1990,JPN,123686320,3.699.821.510.656.000
Jordan,1990,JOR,3480591,19.715.854.336.000
Kazakhstan,1990,KAZ,16866574,194.940.977.152.000
Kenya,1990,KEN,23162270,41.570.971.648.000
Kiribati,1990,KIR,75140,
Kuwait,1990,KWT,1674942,20.899.600.384.000
Laos,1990,LAO,4314442,6.235.010.048.000
Latvia,1990,LVA,2689398,42.100.703.232.000
Lebanon,1990,LBN,3593705,9.719.894.016.000
Lesotho,1990,LSO,1799004,3.205.046.016.000
Liberia,1990,LBR,2209737,3.680.819.968.000
Libya,1990,LBY,4236988,20.372.078.592.000
Lithuania,1990,LTU,3785851,51.021.991.936.000
Luxembourg,1990,LUX,381275,14.057.150.464.000
Macao,1990,MAC,350240,
Madagascar,1990,MDG,11882763,14.680.679.424.000
Malawi,1990,MWI,9539669,8.210.711.040.000
Malaysia,1990,MYS,17517060,143.192.113.152.000
Maldives,1990,MDV,224976,
Mali,1990,MLI,8945030,9.628.796.928.000
Malta,1990,MLT,365396,4.761.399.808.000
Martinique,1990,MTQ,374280,
Mauritania,1990,MRT,2006035,2.908.675.072.000
Mauritius,1990,MUS,1090296,12.196.699.136.000
Mexico,1990,MEX,81720424,823.577.542.656.000
Micronesia (country),1990,FSM,98616,
Mongolia,1990,MNG,2161440,4.502.882.816.000
Montserrat,1990,MSR,10828,
Morocco,1990,MAR,24570816,102.154.764.288.000
Mozambique,1990,MOZ,13303461,22.495.834.112.000
Myanmar,1990,MMR,40099556,49.171.472.384.000
Namibia,1990,NAM,1369016,7.363.139.072.000
Nauru,1990,NRU,9620,
Nepal,1990,NPL,19616528,24.523.433.984.000
Netherlands,1990,NLD,14944550,411.390.803.968.000
Netherlands Antilles,1990,ANT,295861,
New Caledonia,1990,NCL,177280,
New Zealand,1990,NZL,3397388,74.483.236.864.000
Nicaragua,1990,NIC,4227824,8.348.404.224.000
Niger,1990,NER,8370650,6.837.988.352.000
Nigeria,1990,NGA,95214256,171.278.467.072.000
Niue,1990,NIU,2560,
North Korea,1990,PRK,20799522,50.223.947.776.000
North Macedonia,1990,MKD,2044181,17.074.264.064.000
Northern Mariana Islands,1990,MNP,48021,
Norway,1990,NOR,4241637,124.859.203.584.000
Oman,1990,OMN,1804528,18.309.502.976.000
Pakistan,1990,PAK,115414072,290.069.544.960.000
Panama,1990,PAN,2449966,17.035.766.784.000
Papua New Guinea,1990,PNG,3864983,
Paraguay,1990,PRY,4059198,22.196.119.552.000
Peru,1990,PER,22109102,103.571.996.672.000
Philippines,1990,PHL,61558900,227.937.189.888.000
Poland,1990,POL,38064252,310.673.178.624.000
Portugal,1990,PRT,10007347,171.225.923.584.000
Puerto Rico,1990,PRI,3543785,59.418.062.848.000
Qatar,1990,QAT,441685,5.221.963.264.000
Reunion,1990,REU,659000,
Romania,1990,ROU,22836234,127.957.827.584.000
Russia,1990,RUS,148005696,1.834.865.262.592.000
Rwanda,1990,RWA,7319970,9.760.500.736.000
Saint Helena,1990,SHN,6633,
Saint Kitts and Nevis,1990,KNA,40663,
Saint Lucia,1990,LCA,142315,718.014.016.000
Saint Pierre and Miquelon,1990,SPM,6345,
Saint Vincent and the Grenadines,1990,VCT,112507,
Samoa,1990,WSM,168202,
Sao Tome and Principe,1990,STP,120355,257.172.000.000
Saudi Arabia,1990,SAU,16004768,230.231.015.424.000
Senegal,1990,SEN,7536003,15.993.263.104.000
Serbia,1990,SRB,7987530,75.948.515.328.000
Seychelles,1990,SYC,71073,584.969.024.000
Sierra Leone,1990,SLE,4325390,6.912.779.776.000
Singapore,1990,SGP,3022218,69.065.572.352.000
Slovakia,1990,SVK,5261310,65.119.608.832.000
Slovenia,1990,SVN,1986030,36.026.961.920.000
Solomon Islands,1990,SLB,324184,
Somalia,1990,SOM,6999098,
South Africa,1990,ZAF,39877568,235.128.504.320.000
South Korea,1990,KOR,44120040,594.764.496.896.000
Spain,1990,ESP,38889888,756.125.007.872.000
Sri Lanka,1990,LKA,17204098,67.098.669.056.000
Sudan,1990,SDN,21090892,
Suriname,1990,SUR,412767,
Sweden,1990,SWE,8548407,240.234.004.480.000
Switzerland,1990,CHE,6711685,234.154.442.752.000
Syria,1990,SYR,12409003,113.006.346.240.000
Taiwan,1990,TWN,20586176,319.544.655.872.000
Tanzania,1990,TZA,26206024,22.062.497.792.000
Thailand,1990,THA,55228408,407.627.792.384.000
Togo,1990,TGO,3875958,4.744.274.944.000
Tonga,1990,TON,98744,
Trinidad and Tobago,1990,TTO,1266525,17.710.559.232.000
Tunisia,1990,TUN,8440035,43.649.703.936.000
Turkey,1990,TUR,54324140,486.761.168.896.000
Turkmenistan,1990,TKM,3720287,21.201.768.448.000
Turks and Caicos Islands,1990,TCA,11723,
Tuvalu,1990,TUV,9201,
Uganda,1990,UGA,17586634,16.268.766.208.000
Ukraine,1990,UKR,51589816,495.935.193.088.000
United Arab Emirates,1990,ARE,1900160,40.641.368.064.000
United Kingdom,1990,GBR,57210444,1.505.692.221.440.000
United States,1990,USA,248083728,9.250.378.088.448.000
United States Virgin Islands,1990,VIR,100699,
Uruguay,1990,URY,3117011,32.048.549.888.000
Uzbekistan,1990,UZB,20579106,139.398.692.864.000
Vanuatu,1990,VUT,150900,
Venezuela,1990,VEN,19750580,256.078.512.128.000
Vietnam,1990,VNM,66912616,109.939.941.376.000
Western Sahara,1990,ESH,178540,
Yemen,1990,YEM,13375127,44.971.040.768.000
Zambia,1990,ZMB,7686405,10.251.341.824.000
Zimbabwe,1990,ZWE,10113899,21.937.055.744.000
Afghanistan,1991,AFG,10745168,12.047.362.048.000
Albania,1991,ALB,3302087,9.375.844.352.000
Algeria,1991,DZA,26133906,121.105.154.048.000
American Samoa,1991,ASM,49016,
Angola,1991,AGO,12228698,12.341.160.960.000
Antarctica,1991,ATA,,
Antigua and Barbuda,1991,ATG,63653,
Argentina,1991,ARG,33105766,376.057.921.536.000
Aruba,1991,ABW,67879,
Australia,1991,AUS,17271092,461.003.816.960.000
Austria,1991,AUT,7755640,215.992.565.760.000
Azerbaijan,1991,AZE,7538266,53.426.622.464.000
Bahamas,1991,BHS,276072,
Bahrain,1991,BHR,535419,3.631.865.856.000
Bangladesh,1991,BGD,109242832,117.331.550.208.000
Barbados,1991,BRB,259414,3.234.507.008.000
Belarus,1991,BLR,10457619,114.005.491.712.000
Belgium,1991,BEL,9987072,278.661.955.584.000
Belize,1991,BLZ,186478,
Benin,1991,BEN,5293055,9.020.547.072.000
Bermuda,1991,BMU,57897,
Bhutan,1991,BTN,567719,
Bolivia,1991,BOL,7244896,24.301.006.848.000
Botswana,1991,BWA,1380593,7.315.023.872.000
Brazil,1991,BRA,153336448,1.212.665.823.232.000
British Virgin Islands,1991,VGB,16111,
Brunei,1991,BRN,269869,
Bulgaria,1991,BGR,8721659,73.266.159.616.000
Burkina Faso,1991,BFA,9365072,11.509.846.016.000
Burundi,1991,BDI,5594838,6.316.030.464.000
Cambodia,1991,KHM,9259362,13.798.756.352.000
Cameroon,1991,CMR,11777721,22.472.519.680.000
Canada,1991,CAN,28015762,820.551.417.856.000
Cape Verde,1991,CPV,372733,689.942.656.000
Cayman Islands,1991,CYM,27362,
Central African Republic,1991,CAF,2898059,3.196.204.544.000
Chad,1991,TCD,6042433,4.243.508.480.000
Chile,1991,CHL,13561946,143.692.185.600.000
China,1991,CHN,1170626176,3.508.947.910.656.000
Colombia,1991,COL,33272632,259.479.420.928.000
Comoros,1991,COM,442286,484.441.600.000
Congo,1991,COG,2452681,9.009.690.624.000
Cook Islands,1991,COK,17333,
Costa Rica,1991,CRI,3239419,23.389.726.720.000
Cote d'Ivoire,1991,CIV,12369273,26.972.065.792.000
Croatia,1991,HRV,4844526,45.560.401.920.000
Cuba,1991,CUB,10713809,42.598.297.600.000
Cyprus,1991,CYP,799067,10.779.906.048.000
Czechia,1991,CZE,10303359,130.869.280.768.000
Democratic Republic of Congo,1991,COD,37194820,29.817.690.112.000
Denmark,1991,DNK,5158325,154.193.559.552.000
Djibouti,1991,DJI,628528,1.111.365.120.000
Dominica,1991,DMA,69170,285.879.712.000
Dominican Republic,1991,DOM,7278410,28.624.482.304.000
Ecuador,1991,ECU,10686277,67.933.605.888.000
Egypt,1991,EGY,58611032,241.323.327.488.000
El Salvador,1991,SLV,5461074,18.153.449.472.000
Equatorial Guinea,1991,GNQ,483153,925.022.336.000
Estonia,1991,EST,1565621,23.969.413.120.000
Eswatini,1991,SWZ,889719,3.548.878.848.000
Ethiopia,1991,ETH,49937436,41.447.817.216.000
Faeroe Islands,1991,FRO,46834,
Falkland Islands,1991,FLK,2397,
Fiji,1991,FJI,784838,
Finland,1991,FIN,5013856,126.220.410.880.000
France,1991,FRA,56645216,1.655.610.540.032.000
French Guiana,1991,GUF,118523,
French Polynesia,1991,PYF,215455,
Gabon,1991,GAB,1010005,7.974.706.176.000
Gambia,1991,GMB,1083542,1.378.188.672.000
Germany,1991,DEU,79801984,2.140.549.414.912.000
Ghana,1991,GHA,15843473,27.453.958.144.000
Gibraltar,1991,GIB,27013,
Greece,1991,GRC,10391552,168.230.944.768.000
Greenland,1991,GRL,55675,
Grenada,1991,GRD,99778,
Guadeloupe,1991,GLP,396998,
Guam,1991,GUM,140749,
Guatemala,1991,GTM,9329564,47.626.485.760.000
Guinea,1991,GIN,6615740,5.139.871.744.000
Guinea-Bissau,1991,GNB,993861,1.300.711.424.000
Guyana,1991,GUY,744102,
Haiti,1991,HTI,7066064,11.156.723.712.000
Honduras,1991,HND,5196892,14.777.669.632.000
Hong Kong,1991,HKG,5923453,166.794.706.944.000
Hungary,1991,HUN,10374750,95.995.723.776.000
Iceland,1991,ISL,257995,7.281.773.056.000
India,1991,IND,888941760,1.762.411.544.576.000
Indonesia,1991,IDN,185361232,786.439.995.392.000
Iran,1991,IRN,57990892,369.999.085.568.000
Iraq,1991,IRQ,17846384,28.285.614.080.000
Ireland,1991,IRL,3504806,67.936.149.504.000
Israel,1991,ISR,4942821,97.249.247.232.000
Italy,1991,ITA,56794488,1.508.723.261.440.000
Jamaica,1991,JAM,2411869,14.561.161.216.000
Japan,1991,JPN,124073992,3.824.698.523.648.000
Jordan,1991,JOR,3666384,20.298.213.376.000
Kazakhstan,1991,KAZ,16993796,174.429.519.872.000
Kenya,1991,KEN,23918238,42.852.790.272.000
Kiribati,1991,KIR,76627,
Kuwait,1991,KWT,1339505,13.104.828.416.000
Laos,1991,LAO,4437233,6.550.550.528.000
Latvia,1991,LVA,2678970,36.517.597.184.000
Lebanon,1991,LBN,3666735,14.203.284.480.000
Lesotho,1991,LSO,1829515,3.210.336.512.000
Liberia,1991,LBR,1939244,2.990.947.072.000
Libya,1991,LBY,4341979,25.389.248.512.000
Lithuania,1991,LTU,3793430,48.112.087.040.000
Luxembourg,1991,LUX,386405,15.214.076.928.000
Macao,1991,MAC,362393,
Madagascar,1991,MDG,12245266,13.914.944.512.000
Malawi,1991,MWI,9831584,8.886.467.584.000
Malaysia,1991,MYS,18017470,157.980.852.224.000
Maldives,1991,MDV,232159,
Mali,1991,MLI,9123965,10.269.519.872.000
Malta,1991,MLT,368676,5.061.075.456.000
Martinique,1991,MTQ,380973,
Mauritania,1991,MRT,2066307,3.053.303.296.000
Mauritius,1991,MUS,1104267,12.478.497.792.000
Mexico,1991,MEX,83351600,865.148.665.856.000
Micronesia (country),1991,FSM,100448,
Mongolia,1991,MNG,2200077,4.287.970.048.000
Montserrat,1991,MSR,10593,
Morocco,1991,MAR,24988088,109.721.313.280.000
Mozambique,1991,MOZ,13561180,22.102.102.016.000
Myanmar,1991,MMR,40680540,48.063.922.176.000
Namibia,1991,NAM,1415624,7.919.438.336.000
Nauru,1991,NRU,9925,
Nepal,1991,NPL,20130774,26.059.003.904.000
Netherlands,1991,NLD,15046578,423.864.926.208.000
Netherlands Antilles,1991,ANT,,
New Caledonia,1991,NCL,181731,
New Zealand,1991,NZL,3481606,72.989.966.336.000
Nicaragua,1991,NIC,4327293,8.483.399.680.000
Niger,1991,NER,8634640,6.989.576.704.000
Nigeria,1991,NGA,97685360,174.067.580.928.000
Niue,1991,NIU,2520,
North Korea,1991,PRK,21115534,48.202.051.584.000
North Macedonia,1991,MKD,2036691,16.091.739.136.000
Northern Mariana Islands,1991,MNP,48314,
Norway,1991,NOR,4261886,132.674.478.080.000
Oman,1991,OMN,1895193,20.623.697.920.000
Pakistan,1991,PAK,119203576,311.483.367.424.000
Panama,1991,PAN,2502048,18.696.767.488.000
Papua New Guinea,1991,PNG,3991006,
Paraguay,1991,PRY,4168005,22.815.096.832.000
Peru,1991,PER,22583004,106.163.724.288.000
Philippines,1991,PHL,63039752,228.447.698.944.000
Poland,1991,POL,38167388,291.725.475.840.000
Portugal,1991,PRT,9986418,177.700.323.328.000
Puerto Rico,1991,PRI,3578449,61.737.226.240.000
Qatar,1991,QAT,456495,5.668.716.032.000
Reunion,1991,REU,672562,
Romania,1991,ROU,22842488,114.092.097.536.000
Russia,1991,RUS,148455408,1.777.486.528.512.000
Rwanda,1991,RWA,7485683,9.167.407.104.000
Saint Helena,1991,SHN,6591,
Saint Kitts and Nevis,1991,KNA,40562,
Saint Lucia,1991,LCA,144287,732.565.376.000
Saint Pierre and Miquelon,1991,SPM,6374,
Saint Vincent and the Grenadines,1991,VCT,112802,
Samoa,1991,WSM,168713,
Sao Tome and Principe,1991,STP,123101,262.157.968.000
Saudi Arabia,1991,SAU,16654283,279.282.647.040.000
Senegal,1991,SEN,7754296,16.307.771.392.000
Serbia,1991,SRB,7964455,68.665.327.616.000
Seychelles,1991,SYC,71773,617.088.512.000
Sierra Leone,1991,SLE,4378175,6.361.130.496.000
Singapore,1991,SGP,3120627,74.503.577.600.000
Slovakia,1991,SVK,5280230,55.497.322.496.000
Slovenia,1991,SVN,1989799,32.680.462.336.000
Solomon Islands,1991,SLB,333960,
Somalia,1991,SOM,6732711,
South Africa,1991,ZAF,40910964,237.173.669.888.000
South Korea,1991,KOR,44487412,651.871.518.720.000
Spain,1991,ESP,38997064,787.366.543.360.000
Sri Lanka,1991,LKA,17416596,74.080.436.224.000
Sudan,1991,SDN,21453710,
Suriname,1991,SUR,415988,
Sweden,1991,SWE,8594170,237.965.099.008.000
Switzerland,1991,CHE,6795392,236.259.213.312.000
Syria,1991,SYR,12782284,120.675.663.872.000
Taiwan,1991,TWN,20770622,345.041.731.584.000
Tanzania,1991,TZA,26890906,23.122.010.112.000
Thailand,1991,THA,56099872,439.083.565.056.000
Togo,1991,TGO,3990223,4.804.299.776.000
Tonga,1991,TON,99031,
Trinidad and Tobago,1991,TTO,1276232,17.719.300.096.000
Tunisia,1991,TUN,8622857,45.587.128.320.000
Turkey,1991,TUR,55321172,499.938.033.664.000
Turkmenistan,1991,TKM,3821784,20.437.995.520.000
Turks and Caicos Islands,1991,TCA,12354,
Tuvalu,1991,TUV,9378,
Uganda,1991,UGA,18171944,16.538.917.888.000
Ukraine,1991,UKR,51672816,460.353.470.464.000
United Arab Emirates,1991,ARE,2008390,
United Kingdom,1991,GBR,57359452,1.487.460.892.672.000
United States,1991,USA,251560192,9.243.499.429.888.000
United States Virgin Islands,1991,VIR,100991,
Uruguay,1991,URY,3135374,33.068.812.288.000
Uzbekistan,1991,UZB,21074308,136.577.597.440.000
Vanuatu,1991,VUT,154694,
Venezuela,1991,VEN,20226212,282.135.822.336.000
Vietnam,1991,VNM,68358824,115.914.735.616.000
Western Sahara,1991,ESH,184300,
Yemen,1991,YEM,13895858,47.765.819.392.000
Zambia,1991,ZMB,7880472,10.497.353.728.000
Zimbabwe,1991,ZWE,10377817,23.189.843.968.000
Afghanistan,1992,AFG,12057436,12.677.538.816.000
Albania,1992,ALB,3303738,8.745.680.896.000
Algeria,1992,DZA,26748302,127.982.673.920.000
American Samoa,1992,ASM,50096,
Angola,1992,AGO,12632509,12.363.426.816.000
Antarctica,1992,ATA,,
Antigua and Barbuda,1992,ATG,64676,
Argentina,1992,ARG,33568280,416.679.788.544.000
Armenia,1992,ARM,3574558,15.777.784.832.000
Aruba,1992,ABW,70210,
Australia,1992,AUS,17462500,477.843.226.624.000
Austria,1992,AUT,7840816,221.400.842.240.000
Azerbaijan,1992,AZE,7643343,41.795.272.704.000
Bahamas,1992,BHS,281982,
Bahrain,1992,BHR,554480,4.219.815.168.000
Bangladesh,1992,BGD,111272104,123.425.128.448.000
Barbados,1992,BRB,260226,3.028.225.536.000
Belarus,1992,BLR,10475912,101.880.774.656.000
Belgium,1992,BEL,10016455,283.324.055.552.000
Belize,1992,BLZ,190312,
Benin,1992,BEN,5457781,9.209.668.608.000
Bermuda,1992,BMU,58344,
Bhutan,1992,BTN,545956,
Bolivia,1992,BOL,7394417,24.762.218.496.000
Bosnia and Herzegovina,1992,BIH,4275737,16.213.873.664.000
Botswana,1992,BWA,1420696,7.702.511.104.000
Brazil,1992,BRA,155900784,1.220.990.205.952.000
British Virgin Islands,1992,VGB,16497,
Brunei,1992,BRN,277427,
Bulgaria,1992,BGR,8668545,68.357.816.320.000
Burkina Faso,1992,BFA,9598555,11.312.543.744.000
Burundi,1992,BDI,5743083,6.377.442.304.000
Cambodia,1992,KHM,9718217,14.441.154.560.000
Cameroon,1992,CMR,12128609,22.168.713.216.000
Canada,1992,CAN,28347644,830.132.649.984.000
Cape Verde,1992,CPV,381957,722.536.192.000
Cayman Islands,1992,CYM,28701,
Central African Republic,1992,CAF,2991733,3.153.286.912.000
Chad,1992,TCD,6302934,4.384.569.344.000
Chile,1992,CHL,13782300,161.116.241.920.000
China,1992,CHN,1183813376,3.755.037.425.664.000
Colombia,1992,COL,33939044,270.671.757.312.000
Comoros,1992,COM,452997,534.666.848.000
Congo,1992,COG,2520964,9.460.320.256.000
Cook Islands,1992,COK,17481,
Costa Rica,1992,CRI,3321943,25.502.582.784.000
Cote d'Ivoire,1992,CIV,12838315,27.466.940.416.000
Croatia,1992,HRV,4798318,40.296.484.864.000
Cuba,1992,CUB,10783745,36.651.618.304.000
Cyprus,1992,CYP,810435,11.898.679.296.000
Czechia,1992,CZE,10310956,131.887.431.680.000
Democratic Republic of Congo,1992,COD,38332300,27.407.296.512.000
Denmark,1992,DNK,5175466,158.107.713.536.000
Djibouti,1992,DJI,623208,1.171.473.792.000
Dominica,1992,DMA,69135,299.018.304.000
Dominican Republic,1992,DOM,7427347,30.699.632.640.000
Ecuador,1992,ECU,10914222,70.873.808.896.000
Egypt,1992,EGY,59989148,254.191.042.560.000
El Salvador,1992,SLV,5552210,19.825.256.448.000
Equatorial Guinea,1992,GNQ,501343,1.054.728.192.000
Estonia,1992,EST,1540386,20.260.763.648.000
Eswatini,1992,SWZ,925170,3.732.391.424.000
Ethiopia,1992,ETH,52011560,37.455.360.000.000
Faeroe Islands,1992,FRO,46035,
Falkland Islands,1992,FLK,2477,
Fiji,1992,FJI,786860,
Finland,1992,FIN,5042120,122.115.850.240.000
France,1992,FRA,56864048,1.682.859.229.184.000
French Guiana,1992,GUF,122937,
French Polynesia,1992,PYF,219633,
Gabon,1992,GAB,1037451,7.946.244.608.000
Gambia,1992,GMB,1127156,1.438.713.344.000
Georgia,1992,GEO,5239325,28.371.175.424.000
Germany,1992,DEU,80205024,2.206.446.125.056.000
Ghana,1992,GHA,16241548,28.508.753.920.000
Gibraltar,1992,GIB,26974,
Greece,1992,GRC,10478389,170.928.734.208.000
Greenland,1992,GRL,55704,
Grenada,1992,GRD,101054,
Guadeloupe,1992,GLP,401452,
Guam,1992,GUM,143185,
Guatemala,1992,GTM,9576630,50.269.765.632.000
Guinea,1992,GIN,6832196,5.362.577.920.000
Guinea-Bissau,1992,GNB,1022910,1.333.901.696.000
Guyana,1992,GUY,744999,
Haiti,1992,HTI,7205779,10.725.683.200.000
Honduras,1992,HND,5344774,15.733.343.232.000
Hong Kong,1992,HKG,6007690,175.823.863.808.000
Hungary,1992,HUN,10370067,94.900.822.016.000
Iceland,1992,ISL,261275,7.008.859.648.000
India,1992,IND,907574080,1.842.360.483.840.000
Indonesia,1992,IDN,188558416,841.780.428.800.000
Iran,1992,IRN,59372016,415.816.908.800.000
Iraq,1992,IRQ,18385682,39.202.230.272.000
Ireland,1992,IRL,3528370,71.167.893.504.000
Israel,1992,ISR,5079388,103.872.339.968.000
Italy,1992,ITA,56833184,1.531.922.481.152.000
Jamaica,1992,JAM,2434580,15.185.282.048.000
Japan,1992,JPN,124444696,3.855.720.120.320.000
Jordan,1992,JOR,3866894,23.492.214.784.000
Kazakhstan,1992,KAZ,17043420,166.043.893.760.000
Kenya,1992,KEN,24655724,43.098.116.096.000
Kiribati,1992,KIR,77922,
Kuwait,1992,KWT,1620639,25.347.045.376.000
Kyrgyzstan,1992,KGZ,4501258,19.580.876.800.000
Laos,1992,LAO,4561117,6.965.636.096.000
Latvia,1992,LVA,2662885,24.608.100.352.000
Lebanon,1992,LBN,3745410,15.962.286.080.000
Lesotho,1992,LSO,1858515,3.373.567.232.000
Liberia,1992,LBR,2052633,1.838.477.312.000
Libya,1992,LBY,4444827,26.617.796.608.000
Lithuania,1992,LTU,3795748,37.861.879.808.000
Luxembourg,1992,LUX,391524,15.430.616.064.000
Macao,1992,MAC,372377,
Madagascar,1992,MDG,12623342,14.242.879.488.000
Malawi,1992,MWI,10115423,8.192.293.888.000
Malaysia,1992,MYS,18526708,173.287.833.600.000
Maldives,1992,MDV,239146,
Mali,1992,MLI,9310571,9.995.125.760.000
Malta,1992,MLT,371892,5.300.727.296.000
Martinique,1992,MTQ,388251,
Mauritania,1992,MRT,2147536,3.186.885.632.000
Mauritius,1992,MUS,1118719,13.020.290.048.000
Mexico,1992,MEX,84993160,902.108.282.880.000
Micronesia (country),1992,FSM,102908,
Moldova,1992,MDA,4494901,24.417.024.000.000
Mongolia,1992,MNG,2236503,4.068.637.696.000
Montserrat,1992,MSR,10131,
Morocco,1992,MAR,25400676,107.626.446.848.000
Mozambique,1992,MOZ,13816886,19.279.767.552.000
Myanmar,1992,MMR,41237808,51.891.175.424.000
Namibia,1992,NAM,1461694,8.581.783.552.000
Nauru,1992,NRU,10152,
Nepal,1992,NPL,20702138,27.087.699.968.000
Netherlands,1992,NLD,15150688,433.594.990.592.000
Netherlands Antilles,1992,ANT,,
New Caledonia,1992,NCL,186281,
New Zealand,1992,NZL,3532568,73.699.155.968.000
Nicaragua,1992,NIC,4427177,8.668.810.240.000
Niger,1992,NER,8907642,6.527.730.688.000
Nigeria,1992,NGA,100182048,181.866.315.776.000
Niue,1992,NIU,2483,
North Korea,1992,PRK,21439992,44.917.407.744.000
North Macedonia,1992,MKD,2018024,15.098.989.568.000
Northern Mariana Islands,1992,MNP,48146,
Norway,1992,NOR,4286560,141.645.643.776.000
Oman,1992,OMN,1985234,23.771.996.160.000
Pakistan,1992,PAK,122375176,327.814.348.800.000
Panama,1992,PAN,2554387,20.281.944.064.000
Papua New Guinea,1992,PNG,4136651,
Paraguay,1992,PRY,4277057,23.297.732.608.000
Peru,1992,PER,23047250,105.849.397.248.000
Philippines,1992,PHL,64543524,230.919.372.800.000
Poland,1992,POL,38252284,302.141.014.016.000
Portugal,1992,PRT,9978745,183.979.442.176.000
Puerto Rico,1992,PRI,3612634,65.572.274.176.000
